id,created_at,text,location,city
T2013_00494,2013-02-14T19,"Well put!  @[REDACTED]: Many ways to knock #solar, but saying that Germany has more sun than US isn't 1 of them [URL]","Berlin, Germany",Berlin
T2016_00056,2016-01-08T10,Sunrun on the run from Nevada in protest at utility fees: Residential solar company follows SolarCi...#solar #PV,"Berlin, Germany",Berlin
T2013_00929,2013-04-01T14,Interesting @[REDACTED] read on solar power in Germany: How a cloudy country became the world leader in solar energy. [URL],"Berlin, Germany",Berlin
T2018_00183,2018-01-15T10,"#Solar News: Øresund Bridge connecting Sweden and Denmark to be powered by solar - A 250 kW PV system will provide around 4% of the bridge's energy needs. The project may be expanded to 700 kW. The Øresund Bridge connects Denmark’s capitaly city, Cope...","Berlin, Germany",Berlin
T2015_00330,2015-02-02T11,Jordan's solar tender bears fruit: Interest in the MENA country's burgeoning solar PV sector attrac... [URL] #solar #PV,"Berlin, Germany",Berlin
T2020_00459,2020-03-17T09,"The  energy group @[REDACTED] has begun construction of its Weesow-Willmersdorf 187 MW solar park northeast of Berlin.  The solar park is to go into operation this year. According to EnBW, this is the first large subsidy-free solar park.","Berlin, Germany",Berlin
T2014_01888,2014-07-29T08,"Once a solar powerhouse, Flanders added just 8.6 MW of new PV sytstems in the first half of 2014. [URL]","Berlin, Germany",Berlin
T2016_02829,2016-09-08T16,Climate Council hails ACT's efforts to push renewables in Australia: The Australian Capital Territ...#solar #PV,"Berlin, Germany",Berlin
T2015_01885,2015-06-12T12,CSUN 2014 financials show 33% shipment increase: Positive impact of Turkish factory reflected in hi... [URL] #solar #PV,"Berlin, Germany",Berlin
T2014_01335,2014-05-28T11,First Solar offloads 250 MW Nevada PV project to NextEra Energy: The U.S. solar company has sold it... [URL] #solar #PV,"Berlin, Germany",Berlin
T2015_03017,2015-09-16T13,"California: EPRI, SunEdison partner on net-zero energy home pilot project: The program will be cruc... [URL] #solar #PV","Berlin, Germany",Berlin
T2015_03548,2015-12-03T17,"US deployed 60 MW of storage in Q3, finds GTM: By the end of the third quarter the U.S. had added m...#solar #PV","Berlin, Germany",Berlin
T2021_02192,2021-12-29T19,I Hope Lorde knows that Solar Power Tour should’ve been open air.. :loudly_crying_face::pleading_face: @[REDACTED],"Berlin, Germany",Berlin
T2016_03444,2016-10-26T13,UK slips to lowest position ever in EY's renewables attractiveness index: 14th place for U.K. come...#solar #PV,"Berlin, Germany",Berlin
T2021_02055,2021-11-30T06,"Work begins on 250 MW/250 MWh grid-forming battery in Australia: Under construction by Australian utility AGL, the 250 MW/250 MWh battery is the largest planned grid-forming battery in the world.#solarenergy #solarpv #solar","Berlin, Germany",Berlin
T2021_00764,2021-05-04T04,"Solar sculpture to produce 300 MWh of electricity annually: Called Solar Mountain, the permanent installation should be built modular with design elements of recycled wood and other environmentally friendly materials.#solarenergy #solarpv #solar","Berlin, Germany",Berlin
T2020_01138,2020-06-29T07,"The Dutch startup helping accelerate Lebanon’s energy transition: FlexiDAO is using its software to track the production of solar power from four PV plants in the nation, in conjunction with the UN Development Program.#solarenergy #solarpv #solar","Berlin, Germany",Berlin
T2015_00961,2015-03-26T17,"Desert Sunlight Solar Farm where 8 million solar panels power 160,000 California homes, in the Mojave Desert,... [URL]","Berlin, Germany",Berlin
T2015_03793,2015-12-29T09,"Hanergy founder to sell 6% stake, company loses $20bn since May: Li Hejun to sell 2.5 billion share...#solar #PV","Berlin, Germany",Berlin
T2015_01844,2015-06-09T11,Australia’s largest PV power plant comes online: The 102 MW Nyngan Solar Plant in Australia has bec... [URL] #solar #PV,"Berlin, Germany",Berlin
T2013_03275,2013-12-01T06,"Coalition deal in Germany could mean boost for solar, says @[REDACTED]: [URL] For wind it looks rather worrisome...","Berlin, Germany",Berlin
T2019_00280,2019-02-02T10,"""Powering our centre with solar energy will mean we can spend less time worrying about our electricity bills and give more time to the women who need it."" - Anne Coolen, Country Director at Marie Stopes Ghana. Find out more about the project at","Berlin, Germany",Berlin
T2019_00526,2019-03-07T19,"Our Simbi Roses solar projects has already been 50% financed by crowd investors! Find project information, read about the farm's social responsibility and watch an interview with the executive director on","Berlin, Germany",Berlin
T2015_01371,2015-04-28T09,Shared solar set to explode: Shared solar for homes and businesses could represent as much as 49% o... [URL] #solar #PV,"Berlin, Germany",Berlin
T2019_01108,2019-06-07T09,Floating solar projects are a great example of the potential EU projects that we should see in #HorizonEurope  #solar #renewable #climateaction #netzero #energyunion #cleanenergyEU #investEU #sunshineisfree #EuropeanElectionResults #GreenWave,"Berlin, Germany",Berlin
T2016_01459,2016-05-09T11,Enphase Energy launches its Enphase AC Battery in Australia and New Zealand: The two countries wil...#solar #PV,"Berlin, Germany",Berlin
T2019_01315,2019-07-05T17,Mobile solar-powered fridges are boosting incomes for Nigerian farmers by helping keep their produce fresh. @[REDACTED] @[REDACTED] @[REDACTED] @[REDACTED],"Berlin, Germany",Berlin
T2021_00032,2021-01-06T09,Vietnam sees 70 MW of floating PV come online: Two 35 MW floating facilities were deployed on the Gia Hoet 1 and Tam Bo irrigation lakes in the Chau Duc district commune of Quang Thanh.#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2015_01826,2015-06-07T16,Eu Prosun calls for PV MIP investigation to be extended following solar companies' breach: [URL] #solar #PV,"Berlin, Germany",Berlin
T2019_02350,2019-11-27T11,Saudi Arabia’s 300 MW Sakaka solar plant comes online: The PV facility was completed a month and a half ahead of schedule by Saudi energy company ACWA Power. The project will sell power at $0.0236/kWh.#pv #solarpv #solar,"Berlin, Germany",Berlin
T2019_01998,2019-10-09T11,PV-Speichersysteme aus Deutschland für Honduras: Die Balance of Storage Systems AG (BOS) aus Neu-Ulm (Bayern) hat erste Solar-Speicher-Systeme in Honduras installiert.,"Berlin, Germany",Berlin
T2014_01458,2014-06-06T13,IRENA conference highlights PV solutions for island tourism: Hot topics at the event included the p... [URL] #solar #PV,"Berlin, Germany",Berlin
T2016_02997,2016-09-22T15,"Solar, efficiency can help mitigate energy use from marijuana cultivation: EQ Research has release...#solar #PV","Berlin, Germany",Berlin
T2020_00667,2020-04-21T16,":sun_with_face::sunrise_over_mountains: The sunny weather and clear skies has seen Germany produce record amounts of about 40% of the entire country's power from #solarpower! Solar, wind and other #renewables accounted for 78% of Germany’s electricity output. #betd2020 #betd2021 #energiewende","Berlin, Germany",Berlin
T2021_01490,2021-08-15T12,"Sri Lankan teenager builds solar-powered tuk-tuk from scraps. This is so cool. When I was fifteen, I couldn’t ride one of these, never mind create one. :OK_hand_medium-light_skin_tone: #sustainable #future","Berlin, Germany",Berlin
T2015_03510,2015-12-01T11,"Indian state Karnataka to lower rooftop PV tariff, announces 1.2 GW tender: Karnataka Electricity R...#solar #PV","Berlin, Germany",Berlin
T2016_00126,2016-01-14T16,"LG expansion due to NeON being ""almost sold out"": Korea’s LG has confirmed that all of the four new...#solar #PV","Berlin, Germany",Berlin
T2019_01926,2019-09-26T12,"Another great Quality Roundtable at #SPICon yesterday in Salt lake City about failures, fiascos and fires in the #pv industry. Thank you for joining us! #QUSA @[REDACTED]  To learn more about what has been discussed, check out the presentation:","Berlin, Germany",Berlin
T2021_00048,2021-01-08T02,1/2PACK 100/70LED Solar Lights Outdoor Motion Sensor Solar Security Lights Waterproof Rotatable Solar Wall Lights Outdoor for Yard Garden Garage Patio Porch  ➤ € 15.  ➤,"Berlin, Germany",Berlin
T2014_02821,2014-10-14T17,Polysilicon capacity expansions to pick up speed in 2015: GTM Research's latest report predicts tha... [URL] #solar #PV,"Berlin, Germany",Berlin
T2015_02281,2015-07-16T16,"What next for Greece's energy sector? : After weeks of tremendous uncertainty, a Euro Summit on Sun... [URL] #solar #PV","Berlin, Germany",Berlin
T2020_00288,2020-02-14T11,[SPECIAL EDITION] #Winners announced! Discover the 2020's top #Storage innovations in our Special Edition! Now available for download below:#specialedition #solar #storage #energystorage #renewableenergy,"Berlin, Germany",Berlin
T2016_01442,2016-05-06T12,"Tesla delivers 25 MWh of stationary storage in Q1: Tesla Energy ""posted strong growth"" in Q1 2016,...#solar #PV","Berlin, Germany",Berlin
T2019_01977,2019-10-06T08,"När grön omställning också är bra för plånboken kan det ta fart på riktigt. Därför är sådana här nyheter viktiga, inte minst i USA.  CNBC: Installing solar panels in a home can increase the home's value by up to 4.1% according to recent research","Berlin, Germany",Berlin
T2014_03080,2014-11-04T09,ABB supplies inverter solutions to 146.4 MW solar project in Honduras: The power and automation com... [URL] #solar #PV,"Berlin, Germany",Berlin
T2014_02507,2014-09-19T10,"It's about the fossil fuels, stupid!: Frost and Sullivan report predicts coal will dominate electri... [URL] #solar #PV","Berlin, Germany",Berlin
T2020_00780,2020-05-08T15,Solar chimney saves energy and lives: Researchers at Australia's RMIT University have designed a solar chimney that could offer powerful safety and environmental benefits.#solarenergy #solarpv #solar,"Berlin, Germany",Berlin
T2020_00552,2020-04-05T13,Just finished my first kitchen aquaponics basil-garden with @[REDACTED] and #arduinouno. Moving on to make it solar powered... :fish::seedling::sun::droplet:,"Berlin, Germany",Berlin
